日付,店舗,カテゴリ,商品名,単価,個数,売上金額
2025-01-01,大阪支店,電子機器,ノートPC,120000,1,120000
2025-01-01,福岡支店,電子機器,ノートPC,120000,3,360000
2025-01-01,名古屋支店,電子機器,モニター,25000,4,100000
2025-01-01,東京本店,周辺機器,キーボード,8000,5,40000
2025-01-02,東京本店,アクセサリ,USBケーブル,1000,5,5000
2025-01-03,福岡支店,電子機器,モニター,25000,3,75000
2025-01-03,東京本店,電子機器,ノートPC,120000,1,120000
2025-01-03,名古屋支店,アクセサリ,USBケーブル,1000,5,5000
2025-01-03,福岡支店,周辺機器,キーボード,8000,3,24000
2025-01-04,東京本店,電子機器,ノートPC,120000,3,360000
2025-01-04,大阪支店,アクセサリ,USBケーブル,1000,4,4000
2025-01-04,福岡支店,アクセサリ,USBケーブル,1000,4,4000
2025-01-04,名古屋支店,電子機器,ノートPC,120000,5,600000
2025-01-04,札幌支店,アクセサリ,USBケーブル,1000,1,1000
2025-01-04,東京本店,家具,オフィスチェア,35000,2,70000
2025-01-04,大阪支店,周辺機器,キーボード,8000,4,32000
2025-01-04,札幌支店,電子機器,ノートPC,120000,3,360000
2025-01-04,福岡支店,アクセサリ,USBケーブル,1000,5,5000
2025-01-05,福岡支店,電子機器,ノートPC,120000,3,360000
2025-01-05,札幌支店,電子機器,モニター,25000,5,125000
2025-01-05,札幌支店,周辺機器,キーボード,8000,4,32000
2025-01-05,福岡支店,電子機器,モニター,25000,2,50000
2025-01-05,東京本店,電子機器,ノートPC,120000,2,240000
2025-01-05,札幌支店,周辺機器,キーボード,8000,1,8000
2025-01-06,東京本店,周辺機器,キーボード,8000,5,40000
2025-01-07,福岡支店,アクセサリ,USBケーブル,1000,2,2000
2025-01-07,福岡支店,家具,オフィスチェア,35000,4,140000
2025-01-07,東京本店,家具,オフィスチェア,35000,2,70000
2025-01-08,札幌支店,アクセサリ,USBケーブル,1000,2,2000
2025-01-08,名古屋支店,電子機器,ノートPC,120000,5,600000
2025-01-08,東京本店,周辺機器,マウス,3000,1,3000
2025-01-08,名古屋支店,電子機器,ノートPC,120000,3,360000
2025-01-08,福岡支店,周辺機器,キーボード,8000,1,8000
2025-01-08,福岡支店,周辺機器,マウス,3000,1,3000
2025-01-09,名古屋支店,周辺機器,マウス,3000,4,12000
2025-01-09,福岡支店,周辺機器,キーボード,8000,3,24000
2025-01-10,福岡支店,電子機器,モニター,25000,2,50000
2025-01-10,東京本店,アクセサリ,USBケーブル,1000,5,5000
2025-01-10,東京本店,電子機器,モニター,25000,1,25000
2025-01-10,東京本店,電子機器,ノートPC,120000,1,120000
2025-01-11,大阪支店,周辺機器,キーボード,8000,4,32000
2025-01-11,福岡支店,家具,オフィスチェア,35000,5,175000
2025-01-11,福岡支店,アクセサリ,USBケーブル,1000,3,3000
2025-01-12,名古屋支店,家具,オフィスチェア,35000,2,70000
2025-01-12,大阪支店,周辺機器,マウス,3000,1,3000
2025-01-12,名古屋支店,電子機器,ノートPC,120000,5,600000
2025-01-12,札幌支店,周辺機器,キーボード,8000,5,40000
2025-01-12,名古屋支店,電子機器,ノートPC,120000,3,360000
2025-01-13,札幌支店,電子機器,モニター,25000,3,75000
2025-01-13,福岡支店,周辺機器,マウス,3000,2,6000
2025-01-13,大阪支店,周辺機器,マウス,3000,3,9000
2025-01-13,東京本店,電子機器,モニター,25000,1,25000
2025-01-14,福岡支店,周辺機器,マウス,3000,2,6000
2025-01-14,福岡支店,電子機器,モニター,25000,3,75000
2025-01-14,福岡支店,周辺機器,マウス,3000,4,12000
2025-01-15,札幌支店,周辺機器,マウス,3000,5,15000
2025-01-15,福岡支店,家具,オフィスチェア,35000,2,70000
2025-01-16,福岡支店,家具,オフィスチェア,35000,2,70000
2025-01-16,福岡支店,電子機器,モニター,25000,5,125000
2025-01-17,名古屋支店,家具,オフィスチェア,35000,1,35000
2025-01-17,福岡支店,電子機器,ノートPC,120000,4,480000
2025-01-17,大阪支店,電子機器,モニター,25000,1,25000
2025-01-18,大阪支店,アクセサリ,USBケーブル,1000,3,3000
2025-01-18,大阪支店,周辺機器,マウス,3000,4,12000
2025-01-19,札幌支店,周辺機器,キーボード,8000,3,24000
2025-01-19,札幌支店,電子機器,ノートPC,120000,3,360000
2025-01-19,名古屋支店,周辺機器,マウス,3000,2,6000
2025-01-19,名古屋支店,電子機器,モニター,25000,2,50000
2025-01-19,東京本店,電子機器,ノートPC,120000,4,480000
2025-01-20,大阪支店,周辺機器,マウス,3000,5,15000
2025-01-21,名古屋支店,アクセサリ,USBケーブル,1000,3,3000
2025-01-21,名古屋支店,電子機器,モニター,25000,4,100000
2025-01-21,名古屋支店,電子機器,ノートPC,120000,5,600000
2025-01-22,名古屋支店,電子機器,ノートPC,120000,1,120000
2025-01-22,札幌支店,周辺機器,キーボード,8000,3,24000
2025-01-22,名古屋支店,アクセサリ,USBケーブル,1000,4,4000
2025-01-23,福岡支店,周辺機器,キーボード,8000,2,16000
2025-01-23,東京本店,周辺機器,キーボード,8000,1,8000
2025-01-23,大阪支店,周辺機器,マウス,3000,5,15000
2025-01-24,東京本店,電子機器,モニター,25000,1,25000
2025-01-24,福岡支店,周辺機器,キーボード,8000,3,24000
2025-01-25,名古屋支店,アクセサリ,USBケーブル,1000,4,4000
2025-01-25,名古屋支店,家具,オフィスチェア,35000,1,35000
2025-01-25,大阪支店,周辺機器,キーボード,8000,2,16000
2025-01-25,東京本店,家具,オフィスチェア,35000,5,175000
2025-01-26,福岡支店,電子機器,ノートPC,120000,3,360000
2025-01-26,福岡支店,家具,オフィスチェア,35000,1,35000
2025-01-27,大阪支店,家具,オフィスチェア,35000,2,70000
2025-01-27,大阪支店,周辺機器,マウス,3000,2,6000
2025-01-27,東京本店,家具,オフィスチェア,35000,1,35000
2025-01-28,東京本店,家具,オフィスチェア,35000,2,70000
2025-01-29,福岡支店,電子機器,モニター,25000,3,75000
2025-01-29,名古屋支店,周辺機器,マウス,3000,2,6000
2025-01-29,名古屋支店,電子機器,ノートPC,120000,5,600000
2025-01-30,名古屋支店,電子機器,ノートPC,120000,3,360000
2025-01-30,札幌支店,電子機器,ノートPC,120000,3,360000
2025-01-30,大阪支店,周辺機器,マウス,3000,5,15000
2025-01-30,東京本店,電子機器,ノートPC,120000,2,240000
2025-01-31,札幌支店,周辺機器,キーボード,8000,4,32000
2025-01-31,東京本店,アクセサリ,USBケーブル,1000,4,4000
2025-02-01,名古屋支店,電子機器,ノートPC,120000,4,480000
2025-02-01,大阪支店,電子機器,モニター,25000,4,100000
2025-02-02,札幌支店,家具,オフィスチェア,35000,4,140000
2025-02-02,名古屋支店,電子機器,モニター,25000,1,25000
2025-02-03,福岡支店,電子機器,モニター,25000,4,100000
2025-02-03,福岡支店,電子機器,ノートPC,120000,3,360000
2025-02-04,札幌支店,アクセサリ,USBケーブル,1000,4,4000
2025-02-04,福岡支店,家具,オフィスチェア,35000,1,35000
2025-02-04,大阪支店,アクセサリ,USBケーブル,1000,5,5000
2025-02-05,大阪支店,電子機器,ノートPC,120000,2,240000
2025-02-05,名古屋支店,周辺機器,キーボード,8000,3,24000
2025-02-05,福岡支店,周辺機器,マウス,3000,2,6000
2025-02-05,大阪支店,電子機器,モニター,25000,2,50000
2025-02-06,大阪支店,周辺機器,マウス,3000,1,3000
2025-02-06,名古屋支店,電子機器,モニター,25000,5,125000
2025-02-06,大阪支店,周辺機器,マウス,3000,5,15000
2025-02-06,名古屋支店,電子機器,ノートPC,120000,5,600000
2025-02-07,大阪支店,アクセサリ,USBケーブル,1000,3,3000
2025-02-07,東京本店,電子機器,モニター,25000,4,100000
2025-02-07,福岡支店,家具,オフィスチェア,35000,3,105000
2025-02-08,大阪支店,電子機器,ノートPC,120000,3,360000
2025-02-08,福岡支店,周辺機器,マウス,3000,2,6000
2025-02-08,東京本店,周辺機器,キーボード,8000,2,16000
2025-02-10,東京本店,周辺機器,マウス,3000,5,15000
2025-02-11,大阪支店,家具,オフィスチェア,35000,4,140000
2025-02-11,名古屋支店,アクセサリ,USBケーブル,1000,2,2000
2025-02-11,札幌支店,電子機器,ノートPC,120000,5,600000
2025-02-11,名古屋支店,電子機器,モニター,25000,1,25000
2025-02-12,大阪支店,周辺機器,マウス,3000,2,6000
2025-02-12,名古屋支店,アクセサリ,USBケーブル,1000,5,5000
2025-02-14,名古屋支店,電子機器,ノートPC,120000,4,480000
2025-02-14,札幌支店,電子機器,ノートPC,120000,1,120000
2025-02-14,名古屋支店,電子機器,モニター,25000,5,125000
2025-02-15,大阪支店,電子機器,モニター,25000,3,75000
2025-02-15,大阪支店,電子機器,モニター,25000,1,25000
2025-02-15,大阪支店,電子機器,ノートPC,120000,3,360000
2025-02-16,札幌支店,周辺機器,キーボード,8000,4,32000
2025-02-16,札幌支店,電子機器,モニター,25000,3,75000
2025-02-16,福岡支店,電子機器,モニター,25000,1,25000
2025-02-17,名古屋支店,周辺機器,キーボード,8000,4,32000
2025-02-17,福岡支店,家具,オフィスチェア,35000,1,35000
2025-02-18,東京本店,周辺機器,マウス,3000,1,3000
2025-02-18,東京本店,アクセサリ,USBケーブル,1000,5,5000
2025-02-19,東京本店,電子機器,ノートPC,120000,5,600000
2025-02-20,東京本店,電子機器,ノートPC,120000,3,360000
2025-02-20,名古屋支店,電子機器,ノートPC,120000,2,240000
2025-02-20,福岡支店,周辺機器,マウス,3000,3,9000
2025-02-21,名古屋支店,電子機器,モニター,25000,4,100000
2025-02-21,名古屋支店,電子機器,ノートPC,120000,2,240000
2025-02-21,札幌支店,周辺機器,マウス,3000,5,15000
2025-02-21,東京本店,家具,オフィスチェア,35000,4,140000
2025-02-22,東京本店,電子機器,ノートPC,120000,3,360000
2025-02-22,名古屋支店,電子機器,モニター,25000,1,25000
2025-02-23,東京本店,電子機器,モニター,25000,1,25000
2025-02-23,福岡支店,周辺機器,キーボード,8000,5,40000
2025-02-24,東京本店,家具,オフィスチェア,35000,4,140000
2025-02-24,大阪支店,電子機器,モニター,25000,3,75000
2025-02-24,大阪支店,周辺機器,キーボード,8000,5,40000
2025-02-24,東京本店,周辺機器,マウス,3000,1,3000
2025-02-25,大阪支店,家具,オフィスチェア,35000,1,35000
2025-02-26,札幌支店,家具,オフィスチェア,35000,2,70000
2025-02-26,福岡支店,周辺機器,キーボード,8000,1,8000
2025-02-28,名古屋支店,電子機器,ノートPC,120000,3,360000
2025-02-28,福岡支店,周辺機器,キーボード,8000,4,32000
2025-03-02,東京本店,アクセサリ,USBケーブル,1000,2,2000
2025-03-02,名古屋支店,電子機器,モニター,25000,4,100000
2025-03-03,福岡支店,電子機器,モニター,25000,2,50000
2025-03-03,大阪支店,電子機器,モニター,25000,5,125000
2025-03-05,札幌支店,電子機器,モニター,25000,3,75000
2025-03-05,名古屋支店,電子機器,モニター,25000,5,125000
2025-03-06,福岡支店,電子機器,ノートPC,120000,5,600000
2025-03-06,東京本店,電子機器,モニター,25000,2,50000
2025-03-06,札幌支店,電子機器,ノートPC,120000,1,120000
2025-03-07,大阪支店,アクセサリ,USBケーブル,1000,3,3000
2025-03-07,札幌支店,アクセサリ,USBケーブル,1000,2,2000
2025-03-07,名古屋支店,アクセサリ,USBケーブル,1000,2,2000
2025-03-08,名古屋支店,周辺機器,キーボード,8000,4,32000
2025-03-08,札幌支店,電子機器,モニター,25000,3,75000
2025-03-09,東京本店,家具,オフィスチェア,35000,5,175000
2025-03-09,東京本店,電子機器,モニター,25000,5,125000
2025-03-09,札幌支店,アクセサリ,USBケーブル,1000,1,1000
2025-03-09,東京本店,電子機器,ノートPC,120000,1,120000
2025-03-09,東京本店,家具,オフィスチェア,35000,3,105000
2025-03-09,東京本店,家具,オフィスチェア,35000,4,140000
2025-03-10,大阪支店,アクセサリ,USBケーブル,1000,4,4000
2025-03-10,札幌支店,家具,オフィスチェア,35000,5,175000
2025-03-11,名古屋支店,電子機器,モニター,25000,5,125000
2025-03-11,名古屋支店,周辺機器,キーボード,8000,3,24000
2025-03-11,名古屋支店,電子機器,ノートPC,120000,3,360000
2025-03-11,大阪支店,電子機器,ノートPC,120000,4,480000
2025-03-12,福岡支店,周辺機器,マウス,3000,4,12000
2025-03-13,札幌支店,アクセサリ,USBケーブル,1000,5,5000
2025-03-13,札幌支店,電子機器,ノートPC,120000,5,600000
2025-03-13,大阪支店,アクセサリ,USBケーブル,1000,2,2000
2025-03-14,福岡支店,周辺機器,マウス,3000,3,9000
2025-03-16,東京本店,電子機器,モニター,25000,2,50000
2025-03-17,札幌支店,周辺機器,マウス,3000,1,3000
2025-03-17,大阪支店,電子機器,モニター,25000,1,25000
2025-03-17,東京本店,家具,オフィスチェア,35000,3,105000
2025-03-17,名古屋支店,電子機器,モニター,25000,4,100000
2025-03-18,大阪支店,周辺機器,キーボード,8000,5,40000
2025-03-18,札幌支店,家具,オフィスチェア,35000,5,175000
2025-03-18,福岡支店,家具,オフィスチェア,35000,3,105000
2025-03-19,大阪支店,周辺機器,キーボード,8000,1,8000
2025-03-20,東京本店,周辺機器,マウス,3000,3,9000
2025-03-21,大阪支店,周辺機器,マウス,3000,2,6000
2025-03-22,福岡支店,周辺機器,マウス,3000,3,9000
2025-03-23,札幌支店,電子機器,ノートPC,120000,5,600000
2025-03-23,大阪支店,周辺機器,マウス,3000,5,15000
2025-03-25,大阪支店,電子機器,ノートPC,120000,1,120000
2025-03-25,大阪支店,電子機器,ノートPC,120000,3,360000
2025-03-26,東京本店,周辺機器,マウス,3000,5,15000
2025-03-26,大阪支店,電子機器,モニター,25000,3,75000
2025-03-26,東京本店,周辺機器,キーボード,8000,2,16000
2025-03-27,大阪支店,家具,オフィスチェア,35000,1,35000
2025-03-27,名古屋支店,電子機器,ノートPC,120000,5,600000
2025-03-28,名古屋支店,電子機器,モニター,25000,5,125000
2025-03-28,名古屋支店,家具,オフィスチェア,35000,3,105000
2025-03-28,福岡支店,周辺機器,キーボード,8000,1,8000
2025-03-28,大阪支店,アクセサリ,USBケーブル,1000,4,4000
2025-03-28,札幌支店,電子機器,モニター,25000,4,100000
2025-03-28,大阪支店,電子機器,ノートPC,120000,4,480000
2025-03-29,東京本店,電子機器,ノートPC,120000,5,600000
2025-03-29,福岡支店,家具,オフィスチェア,35000,1,35000
2025-03-29,東京本店,周辺機器,マウス,3000,4,12000
2025-03-30,福岡支店,アクセサリ,USBケーブル,1000,2,2000
2025-03-30,名古屋支店,電子機器,モニター,25000,2,50000
2025-03-31,札幌支店,家具,オフィスチェア,35000,5,175000
2025-03-31,東京本店,電子機器,モニター,25000,2,50000
2025-04-01,東京本店,家具,オフィスチェア,35000,2,70000
2025-04-01,札幌支店,周辺機器,マウス,3000,3,9000
2025-04-01,大阪支店,家具,オフィスチェア,35000,2,70000
2025-04-02,福岡支店,アクセサリ,USBケーブル,1000,5,5000
2025-04-02,大阪支店,家具,オフィスチェア,35000,2,70000
2025-04-02,名古屋支店,家具,オフィスチェア,35000,5,175000
2025-04-03,大阪支店,電子機器,モニター,25000,4,100000
2025-04-03,名古屋支店,アクセサリ,USBケーブル,1000,1,1000
2025-04-03,札幌支店,家具,オフィスチェア,35000,2,70000
2025-04-03,名古屋支店,アクセサリ,USBケーブル,1000,1,1000
2025-04-03,札幌支店,周辺機器,マウス,3000,3,9000
2025-04-04,大阪支店,電子機器,モニター,25000,1,25000
2025-04-05,札幌支店,周辺機器,キーボード,8000,4,32000
2025-04-05,名古屋支店,アクセサリ,USBケーブル,1000,3,3000
2025-04-05,福岡支店,家具,オフィスチェア,35000,1,35000
2025-04-06,福岡支店,周辺機器,マウス,3000,1,3000
2025-04-06,名古屋支店,電子機器,モニター,25000,4,100000
2025-04-07,名古屋支店,アクセサリ,USBケーブル,1000,2,2000
2025-04-07,東京本店,電子機器,ノートPC,120000,5,600000
2025-04-07,東京本店,周辺機器,マウス,3000,1,3000
2025-04-08,東京本店,電子機器,ノートPC,120000,3,360000
2025-04-08,東京本店,家具,オフィスチェア,35000,1,35000
2025-04-08,大阪支店,電子機器,ノートPC,120000,1,120000
2025-04-08,大阪支店,アクセサリ,USBケーブル,1000,1,1000
2025-04-09,札幌支店,電子機器,モニター,25000,4,100000
2025-04-09,名古屋支店,電子機器,ノートPC,120000,1,120000
2025-04-09,東京本店,周辺機器,キーボード,8000,3,24000
2025-04-10,福岡支店,周辺機器,マウス,3000,2,6000
2025-04-10,福岡支店,アクセサリ,USBケーブル,1000,4,4000
2025-04-10,名古屋支店,アクセサリ,USBケーブル,1000,1,1000
2025-04-10,札幌支店,電子機器,モニター,25000,2,50000
2025-04-10,名古屋支店,電子機器,ノートPC,120000,4,480000
2025-04-11,東京本店,アクセサリ,USBケーブル,1000,4,4000
2025-04-12,大阪支店,アクセサリ,USBケーブル,1000,5,5000
2025-04-13,名古屋支店,周辺機器,キーボード,8000,5,40000
2025-04-13,大阪支店,周辺機器,キーボード,8000,5,40000
2025-04-13,名古屋支店,アクセサリ,USBケーブル,1000,4,4000
2025-04-13,東京本店,周辺機器,マウス,3000,4,12000
2025-04-13,福岡支店,アクセサリ,USBケーブル,1000,3,3000
2025-04-15,札幌支店,家具,オフィスチェア,35000,3,105000
2025-04-15,札幌支店,周辺機器,マウス,3000,1,3000
2025-04-15,大阪支店,家具,オフィスチェア,35000,3,105000
2025-04-15,名古屋支店,家具,オフィスチェア,35000,2,70000
2025-04-15,東京本店,電子機器,ノートPC,120000,5,600000
2025-04-15,東京本店,家具,オフィスチェア,35000,2,70000
2025-04-16,東京本店,周辺機器,キーボード,8000,4,32000
2025-04-16,名古屋支店,周辺機器,キーボード,8000,5,40000
2025-04-16,札幌支店,電子機器,ノートPC,120000,1,120000
2025-04-17,札幌支店,周辺機器,マウス,3000,4,12000
2025-04-18,大阪支店,電子機器,ノートPC,120000,5,600000
2025-04-18,福岡支店,家具,オフィスチェア,35000,5,175000
2025-04-18,大阪支店,アクセサリ,USBケーブル,1000,1,1000
2025-04-18,東京本店,周辺機器,マウス,3000,3,9000
2025-04-18,福岡支店,周辺機器,マウス,3000,4,12000
2025-04-19,札幌支店,周辺機器,キーボード,8000,2,16000
2025-04-19,東京本店,周辺機器,キーボード,8000,5,40000
2025-04-19,福岡支店,アクセサリ,USBケーブル,1000,4,4000
2025-04-19,福岡支店,電子機器,モニター,25000,5,125000
2025-04-20,札幌支店,アクセサリ,USBケーブル,1000,3,3000
2025-04-20,福岡支店,周辺機器,キーボード,8000,1,8000
2025-04-20,名古屋支店,電子機器,ノートPC,120000,3,360000
2025-04-20,大阪支店,電子機器,モニター,25000,5,125000
2025-04-21,名古屋支店,電子機器,モニター,25000,3,75000
2025-04-21,福岡支店,周辺機器,キーボード,8000,2,16000
2025-04-21,東京本店,周辺機器,キーボード,8000,2,16000
2025-04-21,札幌支店,電子機器,ノートPC,120000,5,600000
2025-04-22,名古屋支店,アクセサリ,USBケーブル,1000,3,3000
2025-04-22,札幌支店,電子機器,モニター,25000,3,75000
2025-04-22,名古屋支店,電子機器,ノートPC,120000,5,600000
2025-04-22,札幌支店,電子機器,ノートPC,120000,4,480000
2025-04-23,札幌支店,周辺機器,マウス,3000,3,9000
2025-04-23,東京本店,アクセサリ,USBケーブル,1000,2,2000
2025-04-23,大阪支店,電子機器,モニター,25000,2,50000
2025-04-24,名古屋支店,周辺機器,マウス,3000,4,12000
2025-04-24,東京本店,電子機器,ノートPC,120000,1,120000
2025-04-24,福岡支店,電子機器,モニター,25000,2,50000
2025-04-24,名古屋支店,家具,オフィスチェア,35000,3,105000
2025-04-25,名古屋支店,家具,オフィスチェア,35000,3,105000
2025-04-25,札幌支店,アクセサリ,USBケーブル,1000,4,4000
2025-04-26,福岡支店,家具,オフィスチェア,35000,2,70000
2025-04-26,東京本店,家具,オフィスチェア,35000,2,70000
2025-04-27,札幌支店,周辺機器,マウス,3000,2,6000
2025-04-27,名古屋支店,電子機器,ノートPC,120000,4,480000
2025-04-27,福岡支店,電子機器,モニター,25000,1,25000
2025-04-27,東京本店,電子機器,ノートPC,120000,2,240000
2025-04-28,大阪支店,電子機器,ノートPC,120000,1,120000
2025-04-28,東京本店,アクセサリ,USBケーブル,1000,5,5000
2025-04-28,福岡支店,電子機器,モニター,25000,5,125000
2025-04-28,東京本店,電子機器,ノートPC,120000,1,120000
2025-04-28,東京本店,電子機器,ノートPC,120000,5,600000
2025-04-28,札幌支店,周辺機器,マウス,3000,3,9000
2025-04-29,大阪支店,家具,オフィスチェア,35000,2,70000
2025-04-29,大阪支店,家具,オフィスチェア,35000,1,35000
2025-04-30,福岡支店,周辺機器,マウス,3000,1,3000
2025-04-30,札幌支店,家具,オフィスチェア,35000,5,175000
2025-05-01,大阪支店,周辺機器,キーボード,8000,4,32000
2025-05-01,東京本店,周辺機器,マウス,3000,4,12000
2025-05-01,大阪支店,家具,オフィスチェア,35000,3,105000
2025-05-01,大阪支店,家具,オフィスチェア,35000,4,140000
2025-05-01,札幌支店,電子機器,モニター,25000,2,50000
2025-05-02,福岡支店,周辺機器,マウス,3000,5,15000
2025-05-03,名古屋支店,電子機器,ノートPC,120000,5,600000
2025-05-03,名古屋支店,周辺機器,キーボード,8000,3,24000
